project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2004331,CT-K2-45-23 ,CT-K1-45-23,-77.332611,7.7876389,2022-11-20 00:00:00,2023-05-03 00:00:00,None,,Fruiting tree,,2085557,CT-K2-45-23,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-33-123 ,CT-K1-33-123,-77.2769805,7.7506417,2022-11-22 00:00:00,2023-05-04 00:00:00,None,,Trail game,,2085526,CT-K2-33-123,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-6,CT-K1-6,-77.165344,7.850801,2021-10-14 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050350,CT-K1-6,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-36 ,CT-K1-36,-77.31295717,7.7594113,2022-11-20 00:00:00,2023-05-03 00:00:00,None,,Fruiting tree,,2085560,CT-K2-36,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-4,CT-K1-4,-77.136203,7.853691,2021-10-14 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050346,CT-K1-4,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-22 ,CT-K1-22,-77.155446,7.84353,2022-11-20 00:00:00,2023-05-04 00:00:00,None,,Trail game,,2085523,CT-K2-22,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-40 ,CT-K1-40,-77.32202167,7.7609825,2022-11-21 00:00:00,2023-05-04 00:00:00,None,,Fruiting tree,,2085607,CT-K2-40,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-34,CT-K1-34-93,-77.294438,7.7483472,2022-11-21 00:00:00,2023-05-01 00:00:00,None,,Trail game,,2085609,CT-K2-34,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-1,CT-K1-1,-77.156245,7.851406,2021-10-14 00:00:00,2022-01-31 00:00:00,None,,Trail game,,2049571,Cam1,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-35-107 ,CT-K1-35-107,-77.28381,7.7502333,2022-11-20 00:00:00,2023-05-02 00:00:00,None,,Fruiting tree,,2085553,CT-K2-35-107,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-38-41,CT-K1-38-41,-77.324129,7.7682891,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050954,CT-K1-38-41,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-37,CT-K1-37,-77.327289,7.7609055,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050953,CT-K1-37,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-33-108,CT-K1-33-108,-77.283718,7.7596123,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050546,CT-K1-33-108,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-21,CT-K1-21,-77.131857,7.87026,2021-10-11 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050361,CT-K1-21,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-22,CT-K1-22,-77.155446,7.84353,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050362,CT-K1-22,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-41-24,CT-K1-41-24,-77.330611,7.7766667,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050584,CT-K1-41-24,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,CT-CAM K1-41-24
2004331,CT-K1-36,CT-K1-36,-77.31295717,7.7594113,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050952,CT-K1-36,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-8,CT-K1-8,-77.147702,7.850847,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050351,CT-K1-8,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-30-92,CT-K1-30-92,-77.295547,7.7398611,2021-10-01 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050478,CT-K1-30-92,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-33-108 ,CT-K1-33-108,-77.283718,7.7596123,2022-11-20 00:00:00,2023-05-03 00:00:00,None,,Fruiting tree,,2085527,CT-K2-33-108,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-42,CT-K1-42,-77.3293058,7.7677003,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050956,CT-K1-42,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K1-34-93,CT-K1-34-93,-77.294438,7.7483472,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050547,CT-K1-34-93,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,CT-CAM 34-93
2004331,CT-K1-43-40,CT-K1-43-40,-77.32311,7.7764722,2021-10-10 00:00:00,2021-12-31 00:00:00,None,,Trail game,,2050600,CT-K1-43-40,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-41-24 ,CT-K1-41-24,-77.330611,7.7766667,2022-11-20 00:00:00,2023-05-05 00:00:00,None,,Fruiting tree,,2085555,CT-K2-41-24,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2004331,CT-K2-38-41,CT-K1-38-41,-77.324129,7.7682891,2022-11-19 00:00:00,2023-05-04 00:00:00,None,,Trail game,,2085587,CT-K2-38-41,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
